BatchID,Angle,Action,Processed_Longitude,Processed_Latitude,Processed_Elevation,Is_Original
19c0f805-3367-4a88-87e1-f1d7a7a6aaee,9.836065573770492,8279c87e717beb2d0437163be8bffb018d72370c1c4348533263d28cc23383c9,-29298.172292553587,4667.219059637369,-9409.034904376604,true
19c0f805-3367-4a88-87e1-f1d7a7a6aaee,10.081967213114755,,-28459.843417242402,4405.5191701366275,-9172.428427383304,false
19c0f805-3367-4a88-87e1-f1d7a7a6aaee,10.327868852459016,,-27580.06956288684,4146.669822554191,-9079.819701233879,false
19c0f805-3367-4a88-87e1-f1d7a7a6aaee,10.573770491803277,,-26734.104829475982,3884.9400172935857,-8869.889017228968,false
19c0f805-3367-4a88-87e1-f1d7a7a6aaee,10.81967213114754,8279c87e717beb2d0437163be8bffb018d72370c1c4348533263d28cc23383c9,-25941.665779053466,3618.856631755567,-8474.444770935923,true
19c0f805-3367-4a88-87e1-f1d7a7a6aaee,11.065573770491802,,-24785.08597735921,3239.9780995857145,-8245.87539241556,false
19c0f805-3367-4a88-87e1-f1d7a7a6aaee,11.311475409836065,,-23699.06127108098,2855.205997732817,-7773.123273876496,false
19c0f805-3367-4a88-87e1-f1d7a7a6aaee,11.557377049180328,,-22549.115046594758,2474.6648520157323,-7522.062294009142,false
19c0f805-3367-4a88-87e1-f1d7a7a6aaee,11.80327868852459,8279c87e717beb2d0437163be8bffb018d72370c1c4348533263d28cc23383c9,-21465.65681724227,2088.5742759910354,-7041.252810066566,true
19c0f805-3367-4a88-87e1-f1d7a7a6aaee,12.049180327868854,,-20122.704430046026,1627.7137501591642,-6878.219648496248,false
19c0f805-3367-4a88-87e1-f1d7a7a6aaee,12.295081967213115,,-18882.490174013423,1158.428547329444,-6360.549691931345,false
19c0f805-3367-4a88-87e1-f1d7a7a6aaee,12.540983606557376,,-17505.87124540005,698.4311984592787,-6314.134439541027,false
19c0f805-3367-4a88-87e1-f1d7a7a6aaee,12.786885245901638,8279c87e717beb2d0437163be8bffb018d72370c1c4348533263d28cc23383c9,-16349.911158908624,221.4042808979575,-5506.942131174728,true
19c0f805-3367-4a88-87e1-f1d7a7a6aaee,13.032786885245901,,-14196.682189987972,304.58959504417726,-4708.302650698461,false
19c0f805-3367-4a88-87e1-f1d7a7a6aaee,13.278688524590164,,-11887.141240421217,399.04533357164473,-4447.469937999733,false
19c0f805-3367-4a88-87e1-f1d7a7a6aaee,13.524590163934427,,-9789.181186723989,477.81619729871454,-3459.117093624547,false
19c0f805-3367-4a88-87e1-f1d7a7a6aaee,13.77049180327869,8279c87e717beb2d0437163be8bffb018d72370c1c4348533263d28cc23383c9,-7606.316103846999,562.6238737809472,-2762.7872930113226,true
19c0f805-3367-4a88-87e1-f1d7a7a6aaee,14.016393442622952,,-5629.743199730292,428.325418281398,-2328.4879732476547,false
19c0f805-3367-4a88-87e1-f1d7a7a6aaee,14.262295081967213,,-3746.95993457688,286.5821276426432,-1573.0435170419514,false
19c0f805-3367-4a88-87e1-f1d7a7a6aaee,14.508196721311474,,-1902.9484122784343,141.43804421524692,-685.5722126103938,false
19c0f805-3367-4a88-87e1-f1d7a7a6aaee,14.754098360655737,8279c87e717beb2d0437163be8bffb018d72370c1c4348533263d28cc23383c9,0,0,0,true
