BatchID,Angle,Action,Processed_Longitude,Processed_Latitude,Processed_Elevation,Is_Original
989a40e2-88bc-4b2f-b5de-c6c8b99a8a3e,0.9836065573770492,8279c87e717beb2d0437163be8bffb018d72370c1c4348533263d28cc23383c9,-45545.59174220706,14196.76711802726,-15044.789798173122,true
989a40e2-88bc-4b2f-b5de-c6c8b99a8a3e,1.0304449648711944,,-45516.66090826783,14127.626549377426,-15038.17439516075,false
989a40e2-88bc-4b2f-b5de-c6c8b99a8a3e,1.0772833723653394,,-45487.45893376926,14058.50645742059,-15032.52039693389,false
989a40e2-88bc-4b2f-b5de-c6c8b99a8a3e,1.1241217798594847,,-45456.89017962292,13989.497145599249,-15031.67376501672,false
989a40e2-88bc-4b2f-b5de-c6c8b99a8a3e,1.17096018735363,,-45427.6936872683,13920.372720084444,-15026.019582630135,false
989a40e2-88bc-4b2f-b5de-c6c8b99a8a3e,1.2177985948477752,,-45400.14344037627,13851.11078145093,-15014.596376262605,false
989a40e2-88bc-4b2f-b5de-c6c8b99a8a3e,1.2646370023419204,,-45372.04816063959,13781.891936473898,-15005.096068955958,false
989a40e2-88bc-4b2f-b5de-c6c8b99a8a3e,1.3114754098360655,,-45343.13389640185,13712.738660741015,-14998.480141486973,false
989a40e2-88bc-4b2f-b5de-c6c8b99a8a3e,1.3583138173302107,,-45314.49632330425,13643.560737829364,-14990.902640641667,false
989a40e2-88bc-4b2f-b5de-c6c8b99a8a3e,1.405152224824356,,-45286.135455077514,13574.358200402436,-14982.36356953159,false
989a40e2-88bc-4b2f-b5de-c6c8b99a8a3e,1.451990632318501,,-45257.22949098353,13505.198605182959,-14975.747382950969,false
989a40e2-88bc-4b2f-b5de-c6c8b99a8a3e,1.4988290398126463,,-45228.60023200908,13436.014395672595,-14968.16962610744,false
989a40e2-88bc-4b2f-b5de-c6c8b99a8a3e,1.5456674473067915,,-45198.8779557473,13366.918036118848,-14964.437711195089,false
989a40e2-88bc-4b2f-b5de-c6c8b99a8a3e,1.5925058548009368,,-45169.4323667197,13297.79701908867,-14959.744221867993,false
989a40e2-88bc-4b2f-b5de-c6c8b99a8a3e,1.639344262295082,,-45139.44160977262,13228.718771082873,-14956.973600459285,false
989a40e2-88bc-4b2f-b5de-c6c8b99a8a3e,1.686182669789227,,-45110.54942279705,13159.548504540056,-14950.356968531385,false
989a40e2-88bc-4b2f-b5de-c6c8b99a8a3e,1.7330210772833723,,-45081.93396423687,13090.353678521962,-14942.778771530837,false
989a40e2-88bc-4b2f-b5de-c6c8b99a8a3e,1.7798594847775175,,-45051.67745856894,13021.291350069165,-14940.969348950312,false
989a40e2-88bc-4b2f-b5de-c6c8b99a8a3e,1.8266978922716626,,-45022.2455941583,12952.159533136204,-14936.275401819497,false
989a40e2-88bc-4b2f-b5de-c6c8b99a8a3e,1.8735362997658078,,-44990.8986223673,12883.18242896581,-14938.311684970744,false
989a40e2-88bc-4b2f-b5de-c6c8b99a8a3e,1.920374707259953,,-44960.10229954589,12814.158214310184,-14938.42491500359,false
989a40e2-88bc-4b2f-b5de-c6c8b99a8a3e,1.9672131147540983,8279c87e717beb2d0437163be8bffb018d72370c1c4348533263d28cc23383c9,-44930.13064103457,12745.06456576346,-14935.653625675477,true
989a40e2-88bc-4b2f-b5de-c6c8b99a8a3e,2.0140515222482436,,-44736.00487900805,12745.461492818984,-14900.083136187866,false
989a40e2-88bc-4b2f-b5de-c6c8b99a8a3e,2.060889929742389,,-44534.48022779706,12746.45946519883,-14890.465840890072,false
989a40e2-88bc-4b2f-b5de-c6c8b99a8a3e,2.107728337236534,,-44322.53944041929,12748.304757281003,-14917.376973831095,false
989a40e2-88bc-4b2f-b5de-c6c8b99a8a3e,2.1545667447306793,,-44097.43807235081,12751.221254472068,-14990.429958445951,false
989a40e2-88bc-4b2f-b5de-c6c8b99a8a3e,2.201405152224824,,-43887.682022526395,12752.880540449027,-15009.634833933786,false
989a40e2-88bc-4b2f-b5de-c6c8b99a8a3e,2.2482435597189694,,-43683.68046568171,12754.06621726675,-15008.642782035284,false
989a40e2-88bc-4b2f-b5de-c6c8b99a8a3e,2.2950819672131146,,-43494.75791634433,12754.017073139723,-14954.76628209278,false
989a40e2-88bc-4b2f-b5de-c6c8b99a8a3e,2.34192037470726,,-43291.02872521384,12755.173465145781,-14952.799859705381,false
989a40e2-88bc-4b2f-b5de-c6c8b99a8a3e,2.388758782201405,,-43074.95638397685,12757.333894700365,-14994.089577569626,false
989a40e2-88bc-4b2f-b5de-c6c8b99a8a3e,2.4355971896955504,,-42879.72530599637,12757.789343874872,-14962.306350875646,false
989a40e2-88bc-4b2f-b5de-c6c8b99a8a3e,2.4824355971896956,,-42704.24499294604,12756.629369015602,-14861.297625426203,false
989a40e2-88bc-4b2f-b5de-c6c8b99a8a3e,2.529274004683841,,-42528.22041367879,12755.510724817956,-14762.206685462035,false
989a40e2-88bc-4b2f-b5de-c6c8b99a8a3e,2.576112412177986,,-42339.304590649204,12755.44089543185,-14708.294796946459,false
989a40e2-88bc-4b2f-b5de-c6c8b99a8a3e,2.6229508196721314,,-42143.25580745144,12755.9497203301,-14679.372330612503,false
989a40e2-88bc-4b2f-b5de-c6c8b99a8a3e,2.6697892271662766,,-41964.221821970306,12755.067009524093,-14590.840207609348,false
989a40e2-88bc-4b2f-b5de-c6c8b99a8a3e,2.716627634660422,,-41782.172403182136,12754.427125812683,-14512.87761794962,false
989a40e2-88bc-4b2f-b5de-c6c8b99a8a3e,2.763466042154567,,-41599.028016431024,12753.873349442089,-14438.754981311038,false
989a40e2-88bc-4b2f-b5de-c6c8b99a8a3e,2.810304449648712,,-41419.45517208986,12753.025076277088,-14352.12975139916,false
989a40e2-88bc-4b2f-b5de-c6c8b99a8a3e,2.857142857142857,,-41230.55112191127,12752.934564490046,-14298.183914055116,false
989a40e2-88bc-4b2f-b5de-c6c8b99a8a3e,2.9039812646370025,,-41042.47233246337,12752.773440233723,-14241.348381808028,false
989a40e2-88bc-4b2f-b5de-c6c8b99a8a3e,2.9508196721311477,8279c87e717beb2d0437163be8bffb018d72370c1c4348533263d28cc23383c9,-40856.86673326511,12752.407373100345,-14175.855461537838,true
989a40e2-88bc-4b2f-b5de-c6c8b99a8a3e,2.997658079625293,,-40665.56205922691,12853.176411835128,-14117.81473876629,false
989a40e2-88bc-4b2f-b5de-c6c8b99a8a3e,3.044496487119438,,-40485.2517705448,12953.067318301852,-14021.316482595168,false
989a40e2-88bc-4b2f-b5de-c6c8b99a8a3e,3.0913348946135835,,-40290.11761945812,13054.187166013347,-13976.720962258987,false
989a40e2-88bc-4b2f-b5de-c6c8b99a8a3e,3.1381733021077283,,-40109.55091800494,13154.136185438518,-13881.172006605193,false
989a40e2-88bc-4b2f-b5de-c6c8b99a8a3e,3.1850117096018735,,-39927.07080411725,13254.259911337402,-13792.346046603285,false
989a40e2-88bc-4b2f-b5de-c6c8b99a8a3e,3.2318501170960188,,-39752.2943243722,13353.771757874929,-13676.59945411887,false
989a40e2-88bc-4b2f-b5de-c6c8b99a8a3e,3.278688524590164,,-39565.98654847313,13454.245337068947,-13601.219235076569,false
989a40e2-88bc-4b2f-b5de-c6c8b99a8a3e,3.3255269320843093,,-39370.89220015169,13555.457492662215,-13556.592028246261,false
989a40e2-88bc-4b2f-b5de-c6c8b99a8a3e,3.3723653395784545,,-39178.55339392624,13656.463448446477,-13502.34597433079,false
989a40e2-88bc-4b2f-b5de-c6c8b99a8a3e,3.4192037470725998,,-38976.325129554374,13758.299876514735,-13482.696785915643,false
989a40e2-88bc-4b2f-b5de-c6c8b99a8a3e,3.466042154566745,,-38774.92686217418,13860.088548490574,-13460.156837889925,false
989a40e2-88bc-4b2f-b5de-c6c8b99a8a3e,3.51288056206089,,-38588.10741527309,13960.70040261696,-13386.666842637584,false
989a40e2-88bc-4b2f-b5de-c6c8b99a8a3e,3.559718969555035,,-38396.621492357925,14061.714514579246,-13329.510713750497,false
989a40e2-88bc-4b2f-b5de-c6c8b99a8a3e,3.6065573770491803,,-38203.492905048886,14162.882981188013,-13278.115130229853,false
989a40e2-88bc-4b2f-b5de-c6c8b99a8a3e,3.6533957845433256,,-38029.35070055793,14262.509142375086,-13160.392896180041,false
989a40e2-88bc-4b2f-b5de-c6c8b99a8a3e,3.700234192037471,,-37844.76634113677,14363.01238653998,-13079.189077910036,false
989a40e2-88bc-4b2f-b5de-c6c8b99a8a3e,3.7470725995316156,,-37654.96370716323,14463.964025245426,-13016.240945089608,false
989a40e2-88bc-4b2f-b5de-c6c8b99a8a3e,3.793911007025761,,-37478.376222749706,14563.845836621593,-12907.15203883592,false
989a40e2-88bc-4b2f-b5de-c6c8b99a8a3e,3.840749414519906,,-37286.93972194847,14664.969851771079,-12849.95835782215,false
989a40e2-88bc-4b2f-b5de-c6c8b99a8a3e,3.8875878220140514,,-37102.39103597263,14765.544925962546,-12768.730316143483,false
989a40e2-88bc-4b2f-b5de-c6c8b99a8a3e,3.9344262295081966,8279c87e717beb2d0437163be8bffb018d72370c1c4348533263d28cc23383c9,-36915.09897102136,14866.365107321122,-12697.107318824157,true
989a40e2-88bc-4b2f-b5de-c6c8b99a8a3e,3.981264637002342,,-36573.41106261895,14792.106515194348,-12683.197805165313,false
989a40e2-88bc-4b2f-b5de-c6c8b99a8a3e,4.028103044496487,,-36219.88301852066,14718.785014946305,-12710.596484489739,false
989a40e2-88bc-4b2f-b5de-c6c8b99a8a3e,4.074941451990632,,-35877.916684053605,14644.470814513945,-12697.611069415696,false
989a40e2-88bc-4b2f-b5de-c6c8b99a8a3e,4.121779859484778,,-35573.40994995367,14567.034123059682,-12553.9046146404,false
989a40e2-88bc-4b2f-b5de-c6c8b99a8a3e,4.168618266978923,,-35272.22224885924,14489.289831146714,-12398.65135394223,false
989a40e2-88bc-4b2f-b5de-c6c8b99a8a3e,4.215456674473068,,-34963.6092327903,14412.121699183394,-12269.331654489972,false
989a40e2-88bc-4b2f-b5de-c6c8b99a8a3e,4.262295081967213,,-34623.31468070857,14337.520857113414,-12250.513069937006,false
989a40e2-88bc-4b2f-b5de-c6c8b99a8a3e,4.309133489461359,,-34298.45621898095,14261.614215955778,-12177.86079320684,false
989a40e2-88bc-4b2f-b5de-c6c8b99a8a3e,4.355971896955504,,-33958.44034961355,14186.913888101204,-12158.04593971651,false
989a40e2-88bc-4b2f-b5de-c6c8b99a8a3e,4.402810304449648,,-33627.7999482248,14111.406360171852,-12105.54024515301,false
989a40e2-88bc-4b2f-b5de-c6c8b99a8a3e,4.449648711943794,,-33306.26434455323,14035.11544426807,-12021.306100871414,false
989a40e2-88bc-4b2f-b5de-c6c8b99a8a3e,4.496487119437939,,-33012.59587941505,13956.507054986345,-11840.001167143695,false
989a40e2-88bc-4b2f-b5de-c6c8b99a8a3e,4.543325526932084,,-32722.531104724854,13877.570597543643,-11646.19096518401,false
989a40e2-88bc-4b2f-b5de-c6c8b99a8a3e,4.590163934426229,,-32423.654500477016,13799.321451866912,-11483.116954965517,false
989a40e2-88bc-4b2f-b5de-c6c8b99a8a3e,4.6370023419203745,,-32115.685258809943,13721.781008875376,-11351.738676006906,false
989a40e2-88bc-4b2f-b5de-c6c8b99a8a3e,4.68384074941452,,-31801.102815151447,13644.745315257896,-11243.406802759506,false
989a40e2-88bc-4b2f-b5de-c6c8b99a8a3e,4.730679156908665,,-31488.46249179379,13567.515464930417,-11128.333451269194,false
